road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
730,2,27,0.05555555556,0.3176176508,0.3176176508,0
730,3,27,0.09259259259,0.2616390991,0.2616390991,0
730,4,27,0.1296296296,0.2140127152,0.2140127152,0
730,5,27,0.1666666667,0.1745417237,0.1745417237,0
730,6,27,0.2037037037,0.1432400855,0.1432400855,0
730,7,27,0.2407407407,0.1198620097,0.1198620097,0
730,8,27,0.2777777778,0.1037230942,0.1037230942,0
730,9,27,0.3148148148,0.09373539431,0.09373539431,0
730,10,27,0.3518518519,0.08860544031,0.08860544031,0
730,11,27,0.3888888889,0.08708225369,0.08708225369,0
730,12,27,0.4259259259,0.08813177739,0.08813177739,0
730,13,27,0.462962963,0.09098260549,0.09098260549,0
730,14,27,0.5,0.095072425,0.095072425,0
730,15,27,0.537037037,0.09996089904,0.09996089904,0
730,16,27,0.5740740741,0.1052597724,0.1052597724,0
730,17,27,0.6111111111,0.1105990572,0.1105990572,0
730,18,27,0.6481481481,0.1156251526,0.1156251526,0
730,19,27,0.6851851852,0.1200176953,0.1200176953,0
730,20,27,0.7222222222,0.1235118404,0.1235118404,0
730,21,27,0.7592592593,0.1259163818,0.1259163818,0
730,22,27,0.7962962963,0.1271227957,0.1271227957,0
730,23,27,0.8333333333,0.1271044586,0.1271044586,0
730,24,27,0.8703703704,0.1259081209,0.1259081209,0
730,25,27,0.9074074074,0.1236409113,0.1236409113,0
730,26,27,0.9444444444,0.1204559911,0.1204559911,0
730,27,27,0.9814814815,0.1275075945,0.1275075945,0
731,1,19,0.02631578947,0.2643438191,0.2643438191,0
